session_id,t_end,label,r0_bot,r0_top,dr0_bot,dr0_top,r1_bot,r1_top,dr1_bot,dr1_top,r2_bot,r2_top,dr2_bot,dr2_top,r3_bot,r3_top,dr3_bot,dr3_top,r4_bot,r4_top,dr4_bot,dr4_top
S1,1756553496,1,3.57777864,2.429094481,0.841683571,0.039014691,3.488266045,2.442949038,-1.168010744,0.180782048,3.879304061,2.036909424,4.997249651,-5.188961774,3.95839614,1.472718575,1.015163738,-7.24151017,5.364000373,1.128051417,21.87832907,-5.364768625
S1,1756553497,1,3.488266045,2.442949038,-1.168010744,0.180782048,3.879304061,2.036909424,4.997249651,-5.188961774,3.95839614,1.472718575,1.015163738,-7.24151017,5.364000373,1.128051417,21.87832907,-5.364768625,5.757820768,1.500833102,4.726390145,4.47389648
S1,1756553498,0,3.879304061,2.036909424,4.997249651,-5.188961774,3.95839614,1.472718575,1.015163738,-7.24151017,5.364000373,1.128051417,21.87832907,-5.364768625,5.757820768,1.500833102,4.726390145,4.47389648,5.805040913,1.224132346,0.497077706,-2.912777554
S1,1756553499,1,3.95839614,1.472718575,1.015163738,-7.24151017,5.364000373,1.128051417,21.87832907,-5.364768625,5.757820768,1.500833102,4.726390145,4.47389648,5.805040913,1.224132346,0.497077706,-2.912777554,4.918719346,0.945409964,-10.67021267,-3.355471874
S1,1756553500,1,5.364000373,1.128051417,21.87832907,-5.364768625,5.757820768,1.500833102,4.726390145,4.47389648,5.805040913,1.224132346,0.497077706,-2.912777554,4.918719346,0.945409964,-10.67021267,-3.355471874,3.998249617,1.259364919,-11.29271221,3.85173227
S1,1756553502,0,5.757820768,1.500833102,4.726390145,4.47389648,5.805040913,1.224132346,0.497077706,-2.912777554,4.918719346,0.945409964,-10.67021267,-3.355471874,3.998249617,1.259364919,-11.29271221,3.85173227,3.817486084,1.404706375,-2.333772102,1.876450568
S1,1756553503,0,5.805040913,1.224132346,0.497077706,-2.912777554,4.918719346,0.945409964,-10.67021267,-3.355471874,3.998249617,1.259364919,-11.29271221,3.85173227,3.817486084,1.404706375,-2.333772102,1.876450568,4.140350227,1.201041215,4.437844069,-2.799425834
S1,1756553504,1,4.918719346,0.945409964,-10.67021267,-3.355471874,3.998249617,1.259364919,-11.29271221,3.85173227,3.817486084,1.404706375,-2.333772102,1.876450568,4.140350227,1.201041215,4.437844069,-2.799425834,5.435227686,1.200708124,19.1111093,-0.004916087
S1,1756553505,1,3.998249617,1.259364919,-11.29271221,3.85173227,3.817486084,1.404706375,-2.333772102,1.876450568,4.140350227,1.201041215,4.437844069,-2.799425834,5.435227686,1.200708124,19.1111093,-0.004916087,5.804067539,1.134548368,4.083146084,-0.732404448
S1,1756553506,0,3.817486084,1.404706375,-2.333772102,1.876450568,4.140350227,1.201041215,4.437844069,-2.799425834,5.435227686,1.200708124,19.1111093,-0.004916087,5.804067539,1.134548368,4.083146084,-0.732404448,5.940210434,1.13406349,1.943755023,-0.006922756
