session_id,t_end,label,r0_bot,r0_top,dr0_bot,dr0_top,r1_bot,r1_top,dr1_bot,dr1_top,r2_bot,r2_top,dr2_bot,dr2_top,r3_bot,r3_top,dr3_bot,dr3_top,r4_bot,r4_top,dr4_bot,dr4_top
S1,1756619799,0,3.896588251,2.209841623,-5.987225661,-0.76795263,3.826878624,2.178302091,-0.850183975,-0.384658558,3.640453268,2.356459208,-2.76900194,2.646192641,4.088826237,2.370337529,5.470570462,0.169328518,3.524656012,2.196178499,-7.809988102,-2.410938909
S1,1756619801,0,3.826878624,2.178302091,-0.850183975,-0.384658558,3.640453268,2.356459208,-2.76900194,2.646192641,4.088826237,2.370337529,5.470570462,0.169328518,3.524656012,2.196178499,-7.809988102,-2.410938909,3.463553089,1.759602228,-0.80816678,-5.774297269
S1,1756619802,0,3.640453268,2.356459208,-2.76900194,2.646192641,4.088826237,2.370337529,5.470570462,0.169328518,3.524656012,2.196178499,-7.809988102,-2.410938909,3.463553089,1.759602228,-0.80816678,-5.774297269,4.09585156,0.987927123,8.138249346,-9.932151836
S1,1756619803,1,4.088826237,2.370337529,5.470570462,0.169328518,3.524656012,2.196178499,-7.809988102,-2.410938909,3.463553089,1.759602228,-0.80816678,-5.774297269,4.09585156,0.987927123,8.138249346,-9.932151836,5.209117008,0.578705452,13.47889915,-4.954665252
S1,1756619804,1,3.524656012,2.196178499,-7.809988102,-2.410938909,3.463553089,1.759602228,-0.80816678,-5.774297269,4.09585156,0.987927123,8.138249346,-9.932151836,5.209117008,0.578705452,13.47889915,-4.954665252,5.597320788,0.728010989,4.893679648,1.882138984
S1,1756619805,0,3.463553089,1.759602228,-0.80816678,-5.774297269,4.09585156,0.987927123,8.138249346,-9.932151836,5.209117008,0.578705452,13.47889915,-4.954665252,5.597320788,0.728010989,4.893679648,1.882138984,5.256805113,0.483735465,-4.256488044,-3.053474263
S1,1756619806,1,4.09585156,0.987927123,8.138249346,-9.932151836,5.209117008,0.578705452,13.47889915,-4.954665252,5.597320788,0.728010989,4.893679648,1.882138984,5.256805113,0.483735465,-4.256488044,-3.053474263,4.030446625,0.971853898,-15.49490698,6.167323665
S1,1756619807,1,5.209117008,0.578705452,13.47889915,-4.954665252,5.597320788,0.728010989,4.893679648,1.882138984,5.256805113,0.483735465,-4.256488044,-3.053474263,4.030446625,0.971853898,-15.49490698,6.167323665,4.053998027,0.96690227,0.294393674,-0.061895598
S1,1756619808,1,5.597320788,0.728010989,4.893679648,1.882138984,5.256805113,0.483735465,-4.256488044,-3.053474263,4.030446625,0.971853898,-15.49490698,6.167323665,4.053998027,0.96690227,0.294393674,-0.061895598,5.519284374,0.602079729,18.30753077,-4.558153368
S1,1756619809,1,5.256805113,0.483735465,-4.256488044,-3.053474263,4.030446625,0.971853898,-15.49490698,6.167323665,4.053998027,0.96690227,0.294393674,-0.061895598,5.519284374,0.602079729,18.30753077,-4.558153368,5.776988835,1.172006826,3.165071337,6.999723292
